AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
71041;12071041;Dissen-Striesow;;;;;;;31;31;0;0;0;41
71044;12071044;Döbern, Stadt;;;;;;;155;143;9;3;0;326
71052;12071052;Drachhausen;;;;;;;28;26;2;0;0;315
71057;12071057;Drebkau, Stadt;;;;;;;189;173;14;2;0;358
71060;12071060;Drehnow;;;;;;;16;15;1;0;0;299
71074;12071074;Felixsee;;;;;;;74;74;0;0;0;316
71076;12071076;Forst (Lausitz), Stadt;;;;;;;752;686;59;6;1;393
71153;12071153;Groß Schacksdorf-Simmersdorf;;;;;;;30;29;1;0;0;319
71160;12071160;Guben, Stadt;;;;;;;681;596;68;13;4;279
71164;12071164;Guhrow;;;;;;;21;19;1;1;0;371
71176;12071176;Heinersbrück;;;;;;;14;13;1;0;0;386
71185;12071185;Hornow-Wadelsdorf;;;;;;;30;26;4;0;0;298
71189;12071189;Jämlitz-Klein Düben;;;;;;;9;9;0;0;0;332
71193;12071193;Jänschwalde;;;;;;;57;53;4;0;0;26
71244;12071244;Kolkwitz;;;;;;;522;468;50;4;0;367
71294;12071294;Neiße-Malxetal;;;;;;;47;46;1;0;0;328
71301;12071301;Neuhausen/Spree;;;;;;;203;193;10;0;0;385
71304;12071304;Peitz, Stadt;;;;;;;248;209;30;6;3;297
71337;12071337;Schenkendöbern;;;;;;;118;112;6;0;0;364
71341;12071341;Schmogrow-Fehrow;;;;;;;23;22;1;0;0;57
71372;12071372;Spremberg, Stadt;;;;;;;967;855;84;24;4;336
71384;12071384;Tauer;;;;;;;25;22;3;0;0;313
71386;12071386;Teichland;;;;;;;40;37;2;1;0;394
71392;12071392;Tschernitz;;;;;;;44;39;4;1;0;335
71401;12071401;Turnow-Preilack;;;;;;;32;31;0;1;0;300
71408;12071408;Welzow, Stadt;;;;;;;127;111;13;3;0;337
71412;12071412;Werben;;;;;;;49;46;3;0;0;58
71414;12071414;Wiesengrund;;;;;;;29;27;2;0;0;392
72002;12072002;Am Mellensee;;;;;;;268;251;13;4;0;142
72014;12072014;Baruth/Mark, Stadt;;;;;;;171;150;16;3;2;107
72017;12072017;Blankenfelde-Mahlow;;;;;;;1020;921;79;18;2;164
